id,name,email,specificRole,salary,department,startDate,endDate,active,qualifications,reportsTo
STAFF_0042,Yuki William Smith 72,staff42@club.com,GOALKEEPER_COACH,35128.93,MARKETING,2020-01-01,,true,UEFA A,
STAFF_0043,Kim Oliveira,staff43@club.com,FITNESS_COACH,7181.18,OPERATIONS,2020-01-01,,true,UEFA B,
STAFF_0044,James Park Van Sang 38,staff44@club.com,PHYSIOTHERAPIST,27418.41,ADMINISTRATION,2020-01-01,,true,BSc Sports Science,
STAFF_0045,Park Luong Costa,staff45@club.com,SPORTS_SCIENTIST,38009.55,COACHING,2020-01-01,,true,MBBS,
STAFF_0046,Ahmed Williams 93,staff46@club.com,DOCTOR,31478.77,MEDICAL,2020-01-01,,true,MBA,
STAFF_0047,Michael James Smith,staff47@club.com,TECHNICAL_DIRECTOR,17839.00,MARKETING,2020-01-01,,true,FA Level 2,
STAFF_0048,Vu Van Khanh,staff48@club.com,DIRECTOR_OF_FOOTBALL,17709.47,OPERATIONS,2020-01-01,,true,UEFA A,
STAFF_0049,Ahmed Johnson 88,staff49@club.com,MEDIA_OFFICER,34247.56,ADMINISTRATION,2020-01-01,,true,UEFA B,
STAFF_0050,Robert Williams 38,staff50@club.com,SECURITY_CHIEF,19379.01,COACHING,2020-01-01,,true,BSc Sports Science,
STAFF_0051,Le Van Sang,staff51@club.com,GROUNDSMAN,11251.38,MEDICAL,2020-01-01,,true,MBBS,
STAFF_0052,Vu Hoang Rodriguez,staff52@club.com,KIT_MANAGER,19250.89,MARKETING,2020-01-01,,true,MBA,
STAFF_0053,Bui Silva,staff53@club.com,CLEANING_STAFF,10524.67,OPERATIONS,2020-01-01,,true,FA Level 2,
STAFF_0054,Hoang Van Khanh,staff54@club.com,CATERING_STAFF,46788.51,ADMINISTRATION,2020-01-01,,true,UEFA A,
STAFF_0055,Pedro Le Santos 51,staff55@club.com,ADMIN_MANAGER,13043.03,COACHING,2020-01-01,,true,UEFA B,
STAFF_0056,Do Park 72,staff56@club.com,ACCOUNTANT,8459.96,MEDICAL,2020-01-01,,true,BSc Sports Science,
STAFF_0057,Dang Michael Takahashi,staff57@club.com,HR_MANAGER,29967.01,MARKETING,2020-01-01,,true,MBBS,
STAFF_0058,Vu Lee Oliveira,staff58@club.com,MARKETING_MANAGER,13989.27,OPERATIONS,2020-01-01,,true,MBA,
STAFF_0059,Pedro Tran Brown 69,staff59@club.com,IT_ADMINISTRATOR,12888.74,ADMINISTRATION,2020-01-01,,true,FA Level 2,
STAFF_0060,Michael Martinez,staff60@club.com,HEAD_COACH,46215.68,COACHING,2020-01-01,,true,UEFA A,

